Are	O
tourists	O
enticed	O
by	O
these	O
attractions	O
threatening	O
their	O
very	O
existence	O
?	O

The	O
two	O
young	O
sea-lions	O
took	O
not	O
the	O
slightest	O
interest	O
in	O
our	O
arrival	O
.	O

They	O
were	O
playing	O
on	O
the	O
jetty	O
,	O
rolling	O
over	O
and	O
tumbling	O
into	O
the	O
water	O
together	O
,	O
entirely	O
ignoring	O
the	O
human	O
beings	O
edging	O
awkwardly	O
round	O
them	O
.	O

Our	O
party	O
then	O
had	O
to	O
step	O
gingerly	O
over	O
hundreds	O
of	O
marine	O
iguanas	O
basking	O
on	O
the	O
rocks	O
,	O
strange	O
creatures	O
with	O
richly	O
coloured	O
velvet	O
coats	O
,	O
looking	O
like	O
something	O
between	O
a	O
giant	O
lizard	O
and	O
a	O
miniature	O
dinosaur	O
,	O
and	O
found	O
nowhere	O
else	O
on	O
earth	O
except	O
here	O
in	O
the	O
Galapagos	B-LOC
.	O

A	O
little	O
further	O
on	O
were	O
the	O
blue-footed	O
boobies	O
,	O
birds	O
with	O
brilliant	O
china-blue	O
feet	O
,	O
again	O
unique	O
.	O

And	O
then	O
there	O
were	O
the	O
flightless	O
cormorants	O
,	O
birds	O
with	O
vestigial	O
wings	O
who	O
,	O
over	O
the	O
generations	O
,	O
have	O
lost	O
the	O
ability	O
to	O
fly	O
because	O
the	O
nutrients	O
at	O
the	O
shoreline	O
are	O
so	O
rich	O
they	O
have	O
no	O
need	O
to	O
leave	O
.	O

The	O
island	O
of	O
Fernandina	B-LOC
lies	O
at	O
the	O
far	O
western	O
edge	O
of	O
the	O
Galapagos	B-LOC
archipelago	O
,	O
dominated	O
by	O
a	O
volcano	O
that	O
last	O
erupted	O
only	O
six	O
years	O
ago	O
,	O
and	O
home	O
to	O
some	O
of	O
the	O
most	O
remarkable	O
wildlife	O
in	O
the	O
world	O
.	O

It	O
was	O
late	O
afternoon	O
on	O
one	O
of	O
the	O
last	O
days	O
of	O
the	O
year	O
,	O
and	O
we	O
had	O
come	O
ashore	O
to	O
scramble	O
round	O
the	O
rough	O
dark	O
